Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,real_costs_of_goods_sold,real_tangible_fixed_assets
37507349,A BROWN COMPANY INC,2004,Philippines (the),PH,6831,Real estate activities,67,3425.862363,1273.837224,3850.640647,5380.243737,2000.534179,6047.348968
37507349,A BROWN COMPANY INC,2005,Philippines (the),PH,6831,Real estate activities,46,4115.6841,1457.591401,1261.367752,6102.860475,2161.360477,1870.394134
37507349,A BROWN COMPANY INC,2006,Philippines (the),PH,6831,Real estate activities,16,5130.078194,1770.597587,1554.709773,7237.103791,2497.817386,2193.260134
37507349,A BROWN COMPANY INC,2007,Philippines (the),PH,6831,Real estate activities,17,6359.242433,1308.422482,2495.302008,8695.945427,1789.202191,3412.20048
37507349,A BROWN COMPANY INC,2008,Philippines (the),PH,6831,Real estate activities,137,5158.260563,1256.670542,2845.235371,6581.185365,1603.327649,3630.103821
37507349,A BROWN COMPANY INC,2009,Philippines (the),PH,6831,Real estate activities,105,9068.987655,1386.767597,2925.230765,11262.30949,1722.155379,3632.693688
37507349,A BROWN COMPANY INC,2010,Philippines (the),PH,6831,Real estate activities,126,9065.05656,1769.169452,12070.38873,10785.98475,2105.032064,14361.85509
37507349,A BROWN COMPANY INC,2011,Philippines (the),PH,6831,Real estate activities,157,10345.72513,3119.035788,14222.43259,11845.57296,3571.210865,16284.29721
37507349,A BROWN COMPANY INC,2012,Philippines (the),PH,6831,Real estate activities,164,17155.66112,8466.012732,17493.25094,19258.71123,9503.830444,19637.68495
37507349,A BROWN COMPANY INC,2013,Philippines (the),PH,6831,Real estate activities,203,11729.07219,5276.376943,22085.60416,12900.99874,5803.573476,24292.31799
37507349,A BROWN COMPANY INC,2014,Philippines (the),PH,6831,Real estate activities,199,16107.62731,8182.150389,17406.30272,17192.15721,8733.056276,18578.2727
37507349,A BROWN COMPANY INC,2015,Philippines (the),PH,6831,Real estate activities,75,14306.64032,7755.989452,18577.93742,15380.60092,8338.210501,19972.53269
37507349,A BROWN COMPANY INC,2016,Philippines (the),PH,6831,Real estate activities,75,10128.40027,5310.260404,18152.45027,10751.06461,5636.719637,19268.40966
37507349,A BROWN COMPANY INC,2017,Philippines (the),PH,6831,Real estate activities,65,16621.31626,5880.135207,18306.61156,17243.06216,6100.09071,18991.39852
37507349,A BROWN COMPANY INC,2018,Philippines (the),PH,6831,Real estate activities,55,17186.84164,7323.363487,16921.00444,17186.84164,7323.363487,16921.00444
37507349,A BROWN COMPANY INC,2019,Philippines (the),PH,6831,Real estate activities,132,20545.99555,8215.887578,17348.96734,20403.76574,8159.013032,17228.86897
37507349,A BROWN COMPANY INC,2020,Philippines (the),PH,6831,Real estate activities,136,18182.73738,8728.869744,18996.39795,17763.67946,8527.695301,18558.58757
37507349,A BROWN COMPANY INC,2021,Philippines (the),PH,6831,Real estate activities,162,14325.34396,5343.010306,18141.8446,13682.8787,5103.386146,17328.21633
37507349,A BROWN COMPANY INC,2022,Philippines (the),PH,6831,Real estate activities,193,27547.20251,10329.0093,20306.64654,24942.74192,9352.449242,18386.74703
37507349,A BROWN COMPANY INC,2023,Philippines (the),PH,6831,Real estate activities,268,29983.64103,12563.80571,26492.34228,25954.54541,10875.52594,22932.39504
37507349,A BROWN COMPANY INC,2024,Philippines (the),PH,6831,Real estate activities,313,32434.01498,16128.60641,29574.44668,27280.63663,13565.96312,24875.41965
37508761,A. SORIANO CORPORATION,2006,Philippines (the),PH,6420,Financial and insurance activities,162,159376.2122,69993.75204,11710.06684,224835.2063,98741.58424,16519.62523
37508761,A. SORIANO CORPORATION,2007,Philippines (the),PH,6420,Financial and insurance activities,259,139252.1898,100925.4592,13349.4358,190420.393,138010.509,18254.68464
37508761,A. SORIANO CORPORATION,2008,Philippines (the),PH,6420,Financial and insurance activities,260,40902.24329,22142.42418,3006.380997,52185.27479,28250.49184,3835.702051
37508761,A. SORIANO CORPORATION,2009,Philippines (the),PH,6420,Financial and insurance activities,240,30969.66891,18161.70471,4325.049531,38459.63952,22554.0873,5371.056642
37508761,A. SORIANO CORPORATION,2010,Philippines (the),PH,6420,Financial and insurance activities,141,71316.80656,15209.16058,3262.572691,84855.72954,18096.49757,3881.945915
37508761,A. SORIANO CORPORATION,2011,Philippines (the),PH,6420,Financial and insurance activities,577,54984.06647,24015.731,20642.1423,62955.25571,27497.35666,23634.68966
37508761,A. SORIANO CORPORATION,2012,Philippines (the),PH,6420,Financial and insurance activities,472,48446.85812,29899.5433,21233.8316,54385.78227,33564.81957,23836.80979
37508761,A. SORIANO CORPORATION,2013,Philippines (the),PH,6420,Financial and insurance activities,445,44779.07973,29179.40358,23217.0042,49253.2437,32094.90423,25536.76343
37508761,A. SORIANO CORPORATION,2014,Philippines (the),PH,6420,Financial and insurance activities,879,48144.45218,29409.28377,60559.07006,51386.02816,31389.41696,64636.52484
37508761,A. SORIANO CORPORATION,2015,Philippines (the),PH,6420,Financial and insurance activities,701,192671.7543,144296.7598,57284.42074,207135.0992,155128.7254,61584.60652
37508761,A. SORIANO CORPORATION,2016,Philippines (the),PH,6420,Financial and insurance activities,739,215316.2239,151171.2614,53173.48915,228553.2338,160464.8271,56442.43929
37508761,A. SORIANO CORPORATION,2017,Philippines (the),PH,6420,Financial and insurance activities,678,217255.9467,124592.7085,53446.08514,225382.7396,129253.2904,55445.31817
37508761,A. SORIANO CORPORATION,2018,Philippines (the),PH,6420,Financial and insurance activities,691,184678.6172,136779.0628,48570.48231,184678.6172,136779.0628,48570.48231
37508761,A. SORIANO CORPORATION,2019,Philippines (the),PH,6420,Financial and insurance activities,710,213315.6034,133657.7721,51193.36267,211838.9245,132732.5251,50838.97622
37508761,A. SORIANO CORPORATION,2020,Philippines (the),PH,6420,Financial and insurance activities,699,152860.4957,105905.1096,52076.8366,149337.5167,103464.3123,50876.62066
37508761,A. SORIANO CORPORATION,2021,Philippines (the),PH,6420,Financial and insurance activities,686,192577.504,141459.6278,50371.72667,183940.7581,135115.4243,48112.64761
37508761,A. SORIANO CORPORATION,2022,Philippines (the),PH,6420,Financial and insurance activities,709,191570.0469,164481.6648,48512.6338,173457.985,148930.6841,43925.98864
37508761,A. SORIANO CORPORATION,2023,Philippines (the),PH,6420,Financial and insurance activities,613,214294.7949,157608.6328,69056.84951,185498.6184,136429.7423,59777.23435
37508761,A. SORIANO CORPORATION,2024,Philippines (the),PH,6420,Financial and insurance activities,727,226631.6512,168895.8995,69061.56932,190622.5834,142060.3544,58088.50921
12153936,ABOITIZ POWER CORPORATION,2006,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",1235,178889.6862,116918.7707,65708.39826,252363.254,164939.6455,92696.15007
12153936,ABOITIZ POWER CORPORATION,2007,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",1648,273229.8936,180728.8927,99063.20952,373628.1906,247137.7061,135463.9759
12153936,ABOITIZ POWER CORPORATION,2008,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",2061,265761.233,179674.3835,131781.4694,339072.4287,229238.2109,168133.8635
12153936,ABOITIZ POWER CORPORATION,2009,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",1803,517466.4667,276279.3975,1572634.127,642614.9997,343097.1789,1952973.465
12153936,ABOITIZ POWER CORPORATION,2010,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",2272,1367430.787,589977.1554,1692873.768,1627026.54,701979.5801,2014252.258
12153936,ABOITIZ POWER CORPORATION,2011,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",2344,1256598.722,598628.7285,1791752.876,1438771.246,685413.5588,2051508.15
12153936,ABOITIZ POWER CORPORATION,2012,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",2658,1508864.934,774720.399,2067034.792,1693831.199,869690.5553,2320425.069
12153936,ABOITIZ POWER CORPORATION,2013,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",205,1622352.607,953777.1198,2403628.44,1784452.222,1049075.086,2643790.315
12153936,ABOITIZ POWER CORPORATION,2014,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",262,1961980.947,1140188.886,2681637.969,2094081.533,1216958.041,2862193.212
12153936,ABOITIZ POWER CORPORATION,2015,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",304,1820157.627,984315.7954,2858216.224,1956791.914,1058205.707,3072774.748
12153936,ABOITIZ POWER CORPORATION,2016,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",342,1834422.751,927995.8899,3874016.604,1947197.681,985046.3551,4112179.781
12153936,ABOITIZ POWER CORPORATION,2017,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",357,2421395.466,1280969.649,4086799.592,2511971.488,1328886.29,4239672.617
12153936,ABOITIZ POWER CORPORATION,2018,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",383,2532550.711,1359538.371,3928200.077,2532550.711,1359538.371,3928200.077
